ensembl_id	log2FoldChange	pvalue	padj	symbol	description
ENSG00000005206	0.215276032	0.009658156	0.043349948	SPPL2B	signal peptide peptidase like 2B
ENSG00000005238	-0.016654527	0.824017202	0.903109731	ATOSB	atos homolog B
ENSG00000005243	-0.776404247	3.09E-08	1.41E-06	COPZ2	COPI coat complex subunit zeta 2
ENSG00000005249	-0.12199367	0.29561273	0.490038029	PRKAR2B	protein kinase cAMP-dependent type II regulatory subunit beta
ENSG00000005302	-0.225005251	0.000151259	0.001721581	MSL3	MSL complex subunit 3
ENSG00000005339	-0.060347726	0.382566749	0.576828987	CREBBP	CREB binding protein
ENSG00000005379	-0.132510938	0.244055948	0.447304542	TSPOAP1	TSPO associated protein 1
ENSG00000005381	-0.071194108	0.515209684	0.690341621	MPO	myeloperoxidase
ENSG00000005421	0.369572602	0.011624874	0.049693503	PON1	paraoxonase 1
ENSG00000005436	0.05591717	0.44116825	0.684760928	GCFC2	GC-rich sequence DNA-binding factor 2
ENSG00000005448	0.028323236	0.781776005	0.879441293	WDR54	WD repeat domain 54
ENSG00000005469	0.059789797	0.567693496	0.732365133	CROT	carnitine O-octanoyltransferase
ENSG00000005471	0.027842792	0.772952393	0.877222379	ABCB4	ATP binding cassette subfamily B member 4
ENSG00000005483	0.135361073	0.077341899	0.196280171	KMT2E	lysine methyltransferase 2E (inactive)
ENSG00000005486	0.182542277	0.055655628	0.155325299	RHBDD2	rhomboid domain containing 2
ENSG00000005513	0.064196676	0.586083586	0.746761204	SOX8	SRY-box transcription factor 8
ENSG00000005700	0.019408191	0.810754845	0.89853633	IBTK	inhibitor of Bruton tyrosine kinase
ENSG00000005801	0.111271773	0.13853094	0.294361282	ZNF195	zinc finger protein 195
ENSG00000005810	-0.131629676	0.129157796	0.280286399	MYCBP2	MYC binding protein 2
ENSG00000005812	-0.117105985	0.148566322	0.309212892	FBXL3	F-box and leucine rich repeat protein 3
ENSG00000005844	-0.163162239	0.148296207	0.308878365	ITGAL	integrin subunit alpha L
ENSG00000005882	-0.128213749	0.161737792	0.328304905	PDK2	pyruvate dehydrogenase kinase 2
ENSG00000005884	0.003119311	0.977961434	0.992327487	ITGA3	integrin subunit alpha 3
ENSG00000005889	0.214512505	0.015797506	0.062298622	ZFX	zinc finger protein X-linked
ENSG00000005893	-0.077142116	0.359884603	0.55719049	LAMP2	lysosomal associated membrane protein 2
ENSG00000005961	0.462819534	0.006705143	0.03320006	ITGA2B	integrin subunit alpha 2b
ENSG00000005981	-0.215583304	0.072221112	0.18662336	ASB4	ankyrin repeat and SOCS box containing 4
ENSG00000006007	-0.152717694	0.041861787	0.112679814	GDE1	glycerophosphodiester phosphodiesterase 1
ENSG00000006015	-0.012596554	0.898973368	0.948614421	REX1BD	required for excision 1-B domain containing
ENSG00000006016	0.805956313	0.001387668	0.009839532	CRLF1	cytokine receptor like factor 1
ENSG00000006025	0.106673025	0.327767543	0.522745187	OSBPL7	oxysterol binding protein like 7
ENSG00000006042	-0.201019616	0.100372164	0.235816264	TMEM98	transmembrane protein 98
ENSG00000006047	-0.239759578	0.062286484	0.16826026	YBX2	Y-box binding protein 2
ENSG00000006062	-0.069906616	0.497633983	0.675968294	MAP3K14	mitogen-activated protein kinase kinase kinase 14
ENSG00000006071	-0.075879896	0.475817536	0.65399249	ABCC8	ATP binding cassette subfamily C member 8
ENSG00000006118	0.370123583	0.007328478	0.035233408	TMEM132A	transmembrane protein 132A
ENSG00000006125	0.0960993	0.164507195	0.332116797	AP2B1	adaptor related protein complex 2 subunit beta 1
ENSG00000006194	0.011542921	0.84303813	0.915116605	ZNF263	zinc finger protein 263
ENSG00000006210	0.58920828	2.21E-05	0.000369253	CX3CL1	C-X3-C motif chemokine ligand 1
ENSG00000006282	0.550197426	1.10E-07	4.20E-06	SPATA20	spermatogenesis associated 20
ENSG00000006283	1.167331204	3.36E-05	0.000520366	CACNA1G	calcium voltage-gated channel subunit alpha1 G
ENSG00000006327	0.087878512	0.432058552	0.621251812	TNFRSF12A	TNF receptor superfamily member 12A
ENSG00000006377	-0.253183232	0.002112209	0.013002387	DLX6	distal-less homeobox 6
ENSG00000006432	-0.13863794	0.166258023	0.331676792	MAP3K9	mitogen-activated protein kinase kinase kinase 9
ENSG00000006451	-0.008161224	0.889592978	0.94282865	RALA	RAS like proto-oncogene A
ENSG00000006453	0.186283346	0.112187852	0.254430403	BAIAP2L1	BAR/IMD domain containing adaptor protein 2 like 1
ENSG00000006459	0.018863417	0.8320974	0.908490415	KDM7A	lysine demethylase 7A
ENSG00000006468	-1.123390629	7.87E-09	4.67E-07	ETV1	ETS variant transcription factor 1
ENSG00000006530	-0.050028458	0.466878927	0.651146663	AGK	acylglycerol kinase
ENSG00000006534	-0.139377598	0.218001272	0.359346862	ALDH3B1	aldehyde dehydrogenase 3 family member B1
ENSG00000006555	-0.376308286	0.008119535	0.039653921	TTC22	tetratricopeptide repeat domain 22
ENSG00000006576	-0.023664111	0.773406058	0.874674074	PHTF2	putative homeodomain transcription factor 2
ENSG00000006606	0.01765064	0.856359361	0.893031225	CCL26	C-C motif chemokine ligand 26
ENSG00000006607	-0.067370461	0.374251156	0.568671057	FARP2	"FERM, ARH/RhoGEF and pleckstrin domain protein 2"
ENSG00000006611	0.088123932	0.355707734	0.550523142	USH1C	USH1 protein network component harmonin
ENSG00000006625	0.052327563	0.567458593	0.795232461	GGCT	gamma-glutamylcyclotransferase
ENSG00000006634	-0.065267157	0.441380451	0.624360545	DBF4	DBF4 zinc finger
ENSG00000006638	-0.105239203	0.34287388	0.537587814	TBXA2R	thromboxane A2 receptor
ENSG00000006652	-0.022657634	0.824269708	0.903291005	IFRD1	interferon related developmental regulator 1
ENSG00000006695	0.532796754	2.26E-09	1.52E-07	COX10	cytochrome c oxidase assembly factor heme A:farnesyltransferase COX10
ENSG00000006704	0.265845611	0.008229429	0.038485415	GTF2IRD1	GTF2I repeat domain containing 1
ENSG00000006712	0.093477865	0.185927783	0.360621791	PAF1	"PAF1 homolog, Paf1/RNA polymerase II complex component"
ENSG00000006715	0.317410922	8.40E-06	0.000167982	VPS41	VPS41 subunit of HOPS complex
ENSG00000006740	0.057231308	0.624250033	0.769518457	ARHGAP44	Rho GTPase activating protein 44
ENSG00000006744	0.248479183	0.000735384	0.006076616	ELAC2	elaC ribonuclease Z 2
ENSG00000006747	-0.41435333	0.00876955	0.040348388	SCIN	scinderin
ENSG00000006756	0.204743872	0.039240435	0.120852029	ARSD	arylsulfatase D
ENSG00000006757	0.39630008	1.67E-05	0.0002963	PNPLA4	patatin like phospholipase domain containing 4
ENSG00000006788	0.21101187	0.072878377	0.187914674	MYH13	myosin heavy chain 13
ENSG00000006831	-0.052929326	0.497517044	0.676321534	ADIPOR2	adiponectin receptor 2
ENSG00000006837	-0.102109845	0.282333936	0.475459437	CDKL3	cyclin dependent kinase like 3
ENSG00000007001	-0.313222585	0.011006684	0.047793128	UPP2	uridine phosphorylase 2
ENSG00000007047	0.203738519	0.010351009	0.039696879	MARK4	microtubule affinity regulating kinase 4
ENSG00000007080	-0.031295175	0.723355242	0.843584408	CCDC124	coiled-coil domain containing 124
ENSG00000007129	0.030727529	0.778053233	0.877646963	CEACAM21	CEA cell adhesion molecule 21
ENSG00000007168	0.194484227	0.00163005	0.011200021	PAFAH1B1	platelet activating factor acetylhydrolase 1b regulatory subunit 1
ENSG00000007171	-0.155765865	0.225001424	0.4100874	NOS2	nitric oxide synthase 2
ENSG00000007174	0.082828008	0.452698664	0.639338265	DNAH9	dynein axonemal heavy chain 9
ENSG00000007202	0.235261555	0.004075404	0.022726223	BLTP2	bridge-like lipid transfer protein family member 2
ENSG00000007216	-0.053321325	0.586624958	0.747199611	SLC13A2	solute carrier family 13 member 2
ENSG00000007237	-0.018022046	0.869182533	0.930609681	GAS7	growth arrest specific 7
ENSG00000007255	-0.024279929	0.803006768	0.890711371	TRAPPC6A	trafficking protein particle complex subunit 6A
ENSG00000007264	0.996687009	2.56E-08	1.21E-06	MATK	megakaryocyte-associated tyrosine kinase
ENSG00000007312	0.085632635	0.450489961	0.637498842	CD79B	CD79b molecule
ENSG00000007314	0.133317887	0.266331341	0.457917152	SCN4A	sodium voltage-gated channel alpha subunit 4
ENSG00000007341	0.101367999	0.112415543	0.254825656	ST7L	suppression of tumorigenicity 7 like
ENSG00000007350	1.247775856	0.000416732	0.00383992	TKTL1	transketolase like 1
ENSG00000007372	1.249635393	0.00050098	0.004449504	PAX6	paired box 6
ENSG00000007376	-0.139839037	0.100631616	0.236165114	RPUSD1	RNA pseudouridine synthase domain containing 1
ENSG00000007384	0.298746846	0.003039313	0.018226711	RHBDF1	rhomboid 5 homolog 1
ENSG00000007392	0.055684357	0.508598037	0.685177026	LUC7L	LUC7 like
ENSG00000007402	0.265469556	0.064290629	0.172269712	CACNA2D2	calcium voltage-gated channel auxiliary subunit alpha2delta 2
ENSG00000007516	0.21850299	0.071790201	0.185871093	BAIAP3	BAI1 associated protein 3
ENSG00000007520	-0.037301673	0.652178255	0.794151613	TSR3	TSR3 ribosome maturation factor
ENSG00000007541	0.114142106	0.206846454	0.340751627	PIGQ	phosphatidylinositol glycan anchor biosynthesis class Q
ENSG00000007545	-0.03914088	0.581533112	0.743664108	CRAMP1	cramped chromatin regulator homolog 1
ENSG00000007866	-0.157868326	0.054239395	0.15244286	TEAD3	TEA domain transcription factor 3
ENSG00000007908	-0.581773939	0.002525296	0.015725258	SELE	selectin E
ENSG00000007923	0.196292161	0.031857432	0.104294073	DNAJC11	DnaJ heat shock protein family (Hsp40) member C11
ENSG00000007933	-0.778825748	1.85E-05	0.000321647	FMO3	flavin containing dimethylaniline monoxygenase 3
ENSG00000007944	-0.000277886	0.997295333	1	MYLIP	myosin regulatory light chain interacting protein
ENSG00000007952	-0.079660637	0.460325162	0.645819635	NOX1	NADPH oxidase 1
ENSG00000007968	0.00941632	0.930610515	0.965466122	E2F2	E2F transcription factor 2
ENSG00000008018	-0.008217199	0.92287015	0.96118185	PSMB1	proteasome 20S subunit beta 1
ENSG00000008056	-0.106076078	0.37436795	0.568776068	SYN1	synapsin I
ENSG00000008083	-0.390523429	4.03E-06	8.95E-05	JARID2	jumonji and AT-rich interaction domain containing 2
ENSG00000008086	-0.122324469	0.226763595	0.41216551	CDKL5	cyclin dependent kinase like 5
ENSG00000008118	-0.140850914	0.371123973	0.56590179	CAMK1G	calcium/calmodulin dependent protein kinase IG
ENSG00000008128	0.010375512	0.913890853	0.956618591	CDK11A	cyclin dependent kinase 11A
ENSG00000008130	0.135728012	0.087333447	0.213992062	NADK	NAD kinase
ENSG00000008226	-0.428816594	0.003365914	0.019627776	DLEC1	DLEC1 cilia and flagella associated protein
ENSG00000008256	0.033694115	0.712617488	0.835653409	CYTH3	cytohesin 3
ENSG00000008277	0.021816526	0.850859693	0.920016574	ADAM22	ADAM metallopeptidase domain 22
ENSG00000008282	-0.033257359	0.614996651	0.768294936	SYPL1	synaptophysin like 1
ENSG00000008283	0.402119633	0.004278754	0.02036358	CYB561	cytochrome b561
ENSG00000008294	-0.10883736	0.149783851	0.312408237	SPAG9	sperm associated antigen 9
ENSG00000008300	-1.28832292	1.04E-11	1.37E-09	CELSR3	cadherin EGF LAG seven-pass G-type receptor 3
ENSG00000008311	0.1995825	0.127849263	0.278489038	AASS	aminoadipate-semialdehyde synthase
ENSG00000008323	0.17483889	0.14988748	0.311094112	PLEKHG6	pleckstrin homology and RhoGEF domain containing G6
ENSG00000008324	-0.40828402	1.31E-06	3.48E-05	SS18L2	SS18 like 2
ENSG00000008382	0.010176414	0.906809876	0.953115231	MPND	MPN domain containing
ENSG00000008394	0.151692796	0.191603709	0.36787912	MGST1	microsomal glutathione S-transferase 1
ENSG00000008405	-0.310580891	0.001089342	0.008210847	CRY1	cryptochrome circadian regulator 1
ENSG00000008441	-0.072955825	0.463148038	0.648179021	NFIX	nuclear factor I X
ENSG00000008513	0.277930402	0.024006442	0.084818969	ST3GAL1	"ST3 beta-galactoside alpha-2,3-sialyltransferase 1"
ENSG00000008516	-0.037747075	0.735010014	0.845015111	MMP25	matrix metallopeptidase 25
ENSG00000008517	0.078849626	0.483254144	0.665014011	IL32	interleukin 32
ENSG00000008710	-0.1095753	0.288643276	0.48233917	PKD1	"polycystin 1, transient receptor potential channel interacting"
ENSG00000008735	-0.579237398	0.003120245	0.018567364	MAPK8IP2	mitogen-activated protein kinase 8 interacting protein 2
ENSG00000008838	-0.050440202	0.437576373	0.625939199	MED24	mediator complex subunit 24
ENSG00000008853	-0.149028948	0.193029011	0.369621488	RHOBTB2	Rho related BTB domain containing 2
ENSG00000008869	0.034499376	0.633206625	0.781265955	HEATR5B	HEAT repeat containing 5B
ENSG00000008952	0.007686276	0.907421302	0.956164975	SEC62	"SEC62 homolog, preprotein translocation factor"
ENSG00000008988	-0.058927884	0.566207959	0.731239555	RPS20	ribosomal protein S20
ENSG00000009307	0.042938632	0.518652643	0.693164002	CSDE1	cold shock domain containing E1
ENSG00000009335	0.10278007	0.189016	0.364480764	UBE3C	ubiquitin protein ligase E3C
ENSG00000009413	0.008223308	0.928686997	0.964592346	REV3L	"REV3 like, DNA directed polymerase zeta catalytic subunit"
ENSG00000009694	0.007508593	0.936019363	0.96884279	TENM1	teneurin transmembrane protein 1
ENSG00000009724	-0.222976378	0.088736563	0.216421178	MASP2	MBL associated serine protease 2
ENSG00000009765	0.103351274	0.387464417	0.633993972	IYD	iodotyrosine deiodinase
ENSG00000009780	-0.242973045	0.000741726	0.006352216	FAM76A	family with sequence similarity 76 member A
ENSG00000009790	0.005700074	0.954780489	0.972764695	TRAF3IP3	TRAF3 interacting protein 3
ENSG00000009830	0.016003265	0.823178416	0.902677283	POMT2	protein O-mannosyltransferase 2
ENSG00000009844	0.010751867	0.870284792	0.931093102	VTA1	vesicle trafficking 1
ENSG00000009950	-0.027739871	0.800583347	0.889352678	MLXIPL	MLX interacting protein like
ENSG00000009954	0.176224037	0.005079431	0.02680861	BAZ1B	bromodomain adjacent to zinc finger domain 1B
ENSG00000010017	0.037299772	0.646747776	0.790289143	RANBP9	RAN binding protein 9
ENSG00000010030	-0.10546294	0.345415296	0.540248536	ETV7	ETS variant transcription factor 7
ENSG00000010072	-0.066016099	0.303922068	0.498266217	SPRTN	SprT-like N-terminal domain
ENSG00000010165	-0.036186172	0.60066904	0.757464114	METTL13	"methyltransferase 13, eEF1A lysine and N-terminal methyltransferase"
ENSG00000010219	0.036875358	0.666927599	0.829459198	DYRK4	dual specificity tyrosine phosphorylation regulated kinase 4
ENSG00000010244	0.066927272	0.12681819	0.277175881	ZNF207	zinc finger protein 207
ENSG00000010256	-0.13825622	0.101129523	0.236964366	UQCRC1	ubiquinol-cytochrome c reductase core protein 1
ENSG00000010270	0.104866495	0.175980741	0.347964904	STARD3NL	STARD3 N-terminal like
ENSG00000010278	-0.093805395	0.395242314	0.587800053	CD9	CD9 molecule
ENSG00000010282	-0.021027386	0.759723514	0.86588325	HHATL	hedgehog acyltransferase like
ENSG00000010292	-0.021604122	0.796465426	0.886950024	NCAPD2	non-SMC condensin I complex subunit D2
ENSG00000010295	-0.076434465	0.334777125	0.529130563	IFFO1	intermediate filament family orphan 1
ENSG00000010310	0.007734455	0.934970228	0.968375812	GIPR	gastric inhibitory polypeptide receptor
ENSG00000010318	-0.655937094	1.05E-11	1.37E-09	PHF7	PHD finger protein 7
ENSG00000010319	-0.143687488	0.228988556	0.455091598	SEMA3G	semaphorin 3G
ENSG00000010322	-0.403093268	3.73E-10	3.19E-08	NISCH	nischarin
ENSG00000010327	-0.102611674	0.305306182	0.501314887	STAB1	stabilin 1
ENSG00000010361	0.043120268	0.682490216	0.815901834	FUZ	fuzzy planar cell polarity protein
ENSG00000010379	0.635090077	0.002041159	0.013289819	SLC6A13	solute carrier family 6 member 13
ENSG00000010404	0.145592375	0.162172529	0.325974089	IDS	iduronate 2-sulfatase
ENSG00000010438	-1.425508484	4.23E-05	0.000627512	PRSS3	serine protease 3
ENSG00000010539	-0.066861084	0.296491943	0.490915589	ZNF200	zinc finger protein 200
ENSG00000010610	0.028254352	0.791774119	0.88412018	CD4	CD4 molecule
ENSG00000010626	0.13447388	0.177842649	0.361974573	LRRC23	leucine rich repeat containing 23
ENSG00000010671	0.070946562	0.508204777	0.684801919	BTK	Bruton tyrosine kinase
ENSG00000010704	-0.615471344	2.30E-07	7.94E-06	HFE	homeostatic iron regulator
ENSG00000010803	0.178491592	0.01908982	0.071935029	SCMH1	Scm polycomb group protein homolog 1
ENSG00000010810	-0.555569741	1.68E-06	4.27E-05	FYN	"FYN proto-oncogene, Src family tyrosine kinase"
ENSG00000010818	-0.10136126	0.253447317	0.443076915	HIVEP2	HIVEP zinc finger 2
ENSG00000010932	-0.165108942	0.130805195	0.282806665	FMO1	flavin containing dimethylaniline monoxygenase 1
ENSG00000011007	-0.051501781	0.431026769	0.551249582	ELOA	elongin A
ENSG00000011009	0.121783825	0.132074311	0.284720545	LYPLA2	lysophospholipase 2
ENSG00000011021	-0.20836404	0.012410889	0.052292684	CLCN6	chloride voltage-gated channel 6
ENSG00000011028	0.433819314	0.005982646	0.030353469	MRC2	mannose receptor C type 2
ENSG00000011083	0.034886058	0.735326306	0.851178823	SLC6A7	solute carrier family 6 member 7
ENSG00000011105	0.058376902	0.511261994	0.686865243	TSPAN9	tetraspanin 9
ENSG00000011114	0.083936711	0.244646847	0.432991704	BTBD7	BTB domain containing 7
ENSG00000011132	0.079755616	0.248479658	0.437309533	APBA3	amyloid beta precursor protein binding family A member 3
ENSG00000011143	-0.237301021	0.000663506	0.005549999	MKS1	MKS transition zone complex subunit 1
ENSG00000011198	-0.495804676	3.02E-09	1.95E-07	ABHD5	"abhydrolase domain containing 5, lysophosphatidic acid acyltransferase"
ENSG00000011201	0.330661457	0.026835175	0.092006313	ANOS1	anosmin 1
ENSG00000011243	0.103011854	0.120444984	0.267099663	AKAP8L	A-kinase anchoring protein 8 like
ENSG00000011258	0.064984382	0.405420475	0.651199018	MBTD1	mbt domain containing 1
ENSG00000011260	-0.253894572	0.000139867	0.001612699	UTP18	UTP18 small subunit processome component
ENSG00000011275	0.075749551	0.207781982	0.388550741	RNF216	ring finger protein 216
ENSG00000011295	0.509101206	2.57E-09	1.48E-07	TTC19	tetratricopeptide repeat domain 19
ENSG00000011304	-0.024930856	0.609326458	0.763931678	PTBP1	polypyrimidine tract binding protein 1
ENSG00000011332	-0.164585478	0.189826406	0.365496493	DPF1	double PHD fingers 1
ENSG00000011347	-0.289239784	0.056890789	0.158390518	SYT7	synaptotagmin 7
ENSG00000011376	-0.426808834	1.94E-08	9.68E-07	LARS2	"leucyl-tRNA synthetase 2, mitochondrial"
ENSG00000011405	0.255948888	0.004636014	0.021671638	PIK3C2A	phosphatidylinositol-4-phosphate 3-kinase catalytic subunit type 2 alpha
ENSG00000011422	0.012210262	0.907072655	1	PLAUR	"plasminogen activator, urokinase receptor"
ENSG00000011426	-0.137805976	0.238067071	0.425194883	ANLN	"anillin, actin binding protein"
ENSG00000011451	0.034338934	0.619816949	0.771690055	WIZ	WIZ zinc finger
ENSG00000011454	-0.101378462	0.135020991	0.289195615	RABGAP1	RAB GTPase activating protein 1
ENSG00000011465	-0.145727861	0.268968621	0.461221637	DCN	decorin
ENSG00000011478	-0.214243799	0.034246543	0.109809882	QPCTL	glutaminyl-peptide cyclotransferase like
ENSG00000011485	0.287319483	1.02E-05	0.000194768	PPP5C	protein phosphatase 5 catalytic subunit
ENSG00000011523	-0.113359135	0.107771088	0.247115252	CEP68	centrosomal protein 68
ENSG00000011566	0.474364538	4.64E-08	1.99E-06	MAP4K3	mitogen-activated protein kinase kinase kinase kinase 3
